species,class,nirK_length,nirK_molecular_weight,nirK_isoelectric_point,nirK_gravy,nirK_aromaticity,nirK_aa_frac_A,nirK_aa_frac_C,nirK_aa_frac_D,nirK_aa_frac_E,nirK_aa_frac_F,nirK_aa_frac_G,nirK_aa_frac_H,nirK_aa_frac_I,nirK_aa_frac_K,nirK_aa_frac_L,nirK_aa_frac_M,nirK_aa_frac_N,nirK_aa_frac_P,nirK_aa_frac_Q,nirK_aa_frac_R,nirK_aa_frac_S,nirK_aa_frac_T,nirK_aa_frac_V,nirK_aa_frac_W,nirK_aa_frac_Y
mycolicibacter algericus,nirK_only,315,33617.59,5.462,-0.1086,0.07302,0.14921,0.00635,0.06349,0.05397,0.03492,0.10794,0.04444,0.0381,0.00635,0.07619,0.0254,0.01905,0.08254,0.02857,0.06984,0.0127,0.06349,0.07937,0.0127,0.0254
flavobacterium notoginsengisoli,nirK_only,365,39436.67,5.528,-0.1022,0.08767,0.07123,0.00548,0.04658,0.07397,0.04658,0.11781,0.0274,0.06575,0.07397,0.06301,0.03288,0.04384,0.05479,0.02192,0.01918,0.04384,0.05479,0.09589,0.00274,0.03836
mycobacterium novum,nirK_only,315,33617.59,5.462,-0.1086,0.07302,0.14921,0.00635,0.06349,0.05397,0.03492,0.10794,0.04444,0.0381,0.00635,0.07619,0.0254,0.01905,0.08254,0.02857,0.06984,0.0127,0.06349,0.07937,0.0127,0.0254
flavobacterium proteolyticum,nirK_only,360,38527.75,5.892,-0.0664,0.08056,0.07222,0.01389,0.04722,0.05833,0.04167,0.11944,0.03056,0.06389,0.06944,0.05556,0.03333,0.05278,0.06667,0.01944,0.01667,0.03611,0.06111,0.10278,0.00278,0.03611
mycobacterium paraintracellulare,nirK_only,314,33600.77,6.202,-0.0815,0.07006,0.11146,0.00318,0.05732,0.04777,0.03503,0.11465,0.03185,0.04459,0.01274,0.07962,0.02229,0.01274,0.07325,0.03185,0.07962,0.0414,0.07325,0.09236,0.01274,0.02229
flavobacterium flabelliforme,nirK_only,366,39549.97,6.805,-0.1585,0.0929,0.0765,0.00546,0.04372,0.06284,0.05191,0.11475,0.02732,0.05464,0.08743,0.06011,0.03279,0.04645,0.06284,0.02459,0.01639,0.04098,0.05464,0.09563,0.00273,0.03825
flavobacterium okayamense,nirK_only,360,38797.2,5.836,-0.115,0.08333,0.05833,0.00833,0.05,0.06389,0.04444,0.11944,0.02778,0.05,0.08056,0.06389,0.03889,0.03889,0.06944,0.02222,0.01389,0.03611,0.06667,0.10833,0.00278,0.03611
corynebacterium parakroppenstedtii,nirK_only,302,32240.8,5.526,-0.1705,0.06954,0.08609,0.00662,0.04636,0.06291,0.03642,0.10596,0.04967,0.05298,0.0298,0.07616,0.02318,0.03311,0.06623,0.03311,0.03642,0.09272,0.04967,0.07947,0.00993,0.02318
psychrobacter communis,nirK_only,384,41053.23,5.187,-0.0924,0.08073,0.09375,0.00781,0.05729,0.0651,0.04427,0.10417,0.02604,0.04427,0.0651,0.0651,0.02865,0.04167,0.0625,0.02344,0.02083,0.04167,0.0651,0.10677,0.0026,0.03385
psychrobacter pulmonis,nirK_only,384,41053.23,5.187,-0.0924,0.08073,0.09375,0.00781,0.05729,0.0651,0.04427,0.10417,0.02604,0.04427,0.0651,0.0651,0.02865,0.04167,0.0625,0.02344,0.02083,0.04167,0.0651,0.10677,0.0026,0.03385
stutzerimonas chloritidismutans,both,352,37354.76,5.479,-0.1526,0.06534,0.07955,0.00568,0.05966,0.05398,0.03977,0.11364,0.03977,0.03693,0.03693,0.08523,0.02841,0.01989,0.07386,0.02841,0.03977,0.07102,0.0767,0.08523,0.00284,0.02273
stutzerimonas kunmingensis,both,352,37354.76,5.479,-0.1526,0.06534,0.07955,0.00568,0.05966,0.05398,0.03977,0.11364,0.03977,0.03693,0.03693,0.08523,0.02841,0.01989,0.07386,0.02841,0.03977,0.07102,0.0767,0.08523,0.00284,0.02273
avibacterium avium,nirK_only,338,37034.06,6.265,-0.1553,0.10059,0.07692,0.00296,0.02959,0.06805,0.05325,0.08284,0.03254,0.04734,0.06805,0.07692,0.03254,0.04438,0.0858,0.03254,0.01775,0.05917,0.05621,0.0858,0.00296,0.04438
arthrospiribacter ruber,nirK_only,371,40333.5,5.054,-0.1016,0.10512,0.07547,0.00539,0.04043,0.07547,0.06199,0.11051,0.02426,0.05391,0.05391,0.07008,0.04043,0.05121,0.06739,0.02426,0.02156,0.05121,0.05121,0.07817,0.0027,0.04043
flavobacterium pygoscelis,nirK_only,366,39549.97,6.805,-0.1585,0.0929,0.0765,0.00546,0.04372,0.06284,0.05191,0.11475,0.02732,0.05464,0.08743,0.06011,0.03279,0.04645,0.06284,0.02459,0.01639,0.04098,0.05464,0.09563,0.00273,0.03825
massilia agilis,nirK_only,356,38054.71,7.246,-0.2157,0.07584,0.08146,0.00281,0.04494,0.05056,0.04213,0.11798,0.03652,0.02809,0.05337,0.06742,0.0309,0.04213,0.05899,0.02809,0.04213,0.05618,0.07584,0.10674,0.00281,0.0309
massilia solisilvae,nirK_only,356,38054.71,7.246,-0.2157,0.07584,0.08146,0.00281,0.04494,0.05056,0.04213,0.11798,0.03652,0.02809,0.05337,0.06742,0.0309,0.04213,0.05899,0.02809,0.04213,0.05618,0.07584,0.10674,0.00281,0.0309
arthrobacter vasquezii,nirK_only,314,33427.2,5.477,-0.1363,0.07325,0.13057,0.00318,0.04777,0.06051,0.03503,0.11146,0.02866,0.04777,0.01911,0.07643,0.01592,0.03503,0.06369,0.04459,0.06051,0.04459,0.05414,0.0828,0.01274,0.02548
uncultured pseudoalteromonas,both,359,38676.4,5.285,-0.0688,0.08914,0.08635,0.00279,0.04178,0.06964,0.05292,0.10028,0.03343,0.06128,0.05014,0.07242,0.02507,0.0585,0.06407,0.0195,0.02228,0.05571,0.06128,0.08635,0.00557,0.03064
polaribacter staleyi,nirK_only,365,39240.34,5.684,-0.0847,0.08493,0.07123,0.00548,0.04384,0.06849,0.05205,0.11233,0.03014,0.06575,0.07123,0.06575,0.03288,0.04932,0.05205,0.01644,0.01644,0.05753,0.07123,0.08493,0.00274,0.03014
arthrobacter parietis,nirK_only,314,33427.2,5.477,-0.1363,0.07325,0.13057,0.00318,0.04777,0.06051,0.03503,0.11146,0.02866,0.04777,0.01911,0.07643,0.01592,0.03503,0.06369,0.04459,0.06051,0.04459,0.05414,0.0828,0.01274,0.02548
unclassified bizionia,nirK_only,348,37801.24,4.872,-0.2506,0.08908,0.06322,0.00287,0.04598,0.08908,0.04598,0.12069,0.02586,0.05747,0.05172,0.06322,0.03161,0.05747,0.06609,0.02299,0.02874,0.04023,0.05172,0.09195,0.00287,0.04023
bizionia hallyeonensis,nirK_only,348,37801.24,4.872,-0.2506,0.08908,0.06322,0.00287,0.04598,0.08908,0.04598,0.12069,0.02586,0.05747,0.05172,0.06322,0.03161,0.05747,0.06609,0.02299,0.02874,0.04023,0.05172,0.09195,0.00287,0.04023
flavobacterium bizetiae,nirK_only,365,39436.67,5.528,-0.1022,0.08767,0.07123,0.00548,0.04658,0.07397,0.04658,0.11781,0.0274,0.06575,0.07397,0.06301,0.03288,0.04384,0.05479,0.02192,0.01918,0.04384,0.05479,0.09589,0.00274,0.03836
micrococcus endophyticus,nirK_only,314,33222.86,4.81,-0.0242,0.07962,0.15605,0.00318,0.06051,0.06051,0.03822,0.1051,0.03185,0.03503,0.00955,0.03503,0.03185,0.01592,0.06051,0.0414,0.05414,0.02866,0.07325,0.11783,0.01911,0.02229
capnocytophaga genosp.,nirK_only,363,38925.99,5.711,-0.0551,0.0854,0.08815,0.00551,0.03857,0.06336,0.04959,0.11019,0.01928,0.04408,0.0551,0.08815,0.01928,0.04408,0.06612,0.04132,0.0303,0.04132,0.06336,0.09642,0.00275,0.03306
janthinobacterium lyxosi,nirK_only,342,36098.74,6.531,-0.0994,0.06725,0.10234,0.00585,0.03216,0.05848,0.02339,0.11404,0.04094,0.03801,0.05848,0.07018,0.02924,0.02924,0.06725,0.03216,0.02339,0.05556,0.07018,0.10526,0.00292,0.04094
janthinobacterium breve,both,342,36098.74,6.531,-0.0994,0.06725,0.10234,0.00585,0.03216,0.05848,0.02339,0.11404,0.04094,0.03801,0.05848,0.07018,0.02924,0.02924,0.06725,0.03216,0.02339,0.05556,0.07018,0.10526,0.00292,0.04094
