species,class,pcuac_length,pcuac_molecular_weight,pcuac_isoelectric_point,pcuac_gravy,pcuac_aromaticity,pcuac_aa_frac_A,pcuac_aa_frac_C,pcuac_aa_frac_D,pcuac_aa_frac_E,pcuac_aa_frac_F,pcuac_aa_frac_G,pcuac_aa_frac_H,pcuac_aa_frac_I,pcuac_aa_frac_K,pcuac_aa_frac_L,pcuac_aa_frac_M,pcuac_aa_frac_N,pcuac_aa_frac_P,pcuac_aa_frac_Q,pcuac_aa_frac_R,pcuac_aa_frac_S,pcuac_aa_frac_T,pcuac_aa_frac_V,pcuac_aa_frac_W,pcuac_aa_frac_Y
shewanella baltica,pcuac_only,132,14359.42,5.677,0.0705,0.03788,0.09848,0.00758,0.05303,0.06818,0.0303,0.06061,0.06061,0.04545,0.05303,0.12121,0.03788,0.02273,0.04545,0.04545,0.02273,0.03788,0.08333,0.09848,0,0.00758
bradyrhizobium lupini,pcuac_only,142,14825.09,6.909,0.0549,0.0493,0.11268,0,0.05634,0.05634,0.04225,0.12676,0.02817,0.05634,0.09859,0.06338,0.05634,0.02113,0.04225,0.02113,0.01408,0.0493,0.0493,0.09859,0,0.00704
brucella ceti,pcuac_only,142,15306.7,7.871,-0.0908,0.0493,0.11268,0.00704,0.04225,0.07746,0.03521,0.07746,0.03521,0.0493,0.09859,0.07042,0.05634,0.01408,0.05634,0.02113,0.02817,0.06338,0.0493,0.09155,0,0.01408
rickettsia helvetica,pcuac_only,131,14611.6,8.734,-0.0336,0.09924,0.06107,0.00763,0.0687,0.01527,0.0687,0.0458,0.01527,0.10687,0.07634,0.03817,0.03817,0.10687,0.03053,0.03053,0.0229,0.08397,0.06107,0.0916,0.00763,0.0229
rickettsia conorii,pcuac_only,131,14757.83,9.069,-0.0672,0.09924,0.06107,0.00763,0.0687,0.01527,0.0687,0.03817,0.0229,0.09924,0.08397,0.0458,0.03817,0.1145,0.03053,0.03053,0.0229,0.0687,0.05344,0.09924,0.00763,0.0229
vibrio vulnificus,pcuac_only,131,14108.4,8.02,0.0916,0.0458,0.1374,0,0.05344,0.05344,0.03817,0.05344,0.03817,0.0458,0.0916,0.07634,0.06107,0.03817,0.05344,0.0229,0.0229,0.0458,0.0458,0.1145,0,0.00763
idiomarina loihiensis,pcuac_only,131,14338.43,6.331,0.1168,0.08397,0.10687,0,0.03053,0.0687,0.05344,0.08397,0.0229,0.0458,0.03817,0.0687,0.05344,0.0458,0.0458,0.0229,0.05344,0.03817,0.07634,0.1145,0.01527,0.01527
rickettsia rickettsii,pcuac_only,131,14757.83,9.069,-0.0672,0.09924,0.06107,0.00763,0.0687,0.01527,0.0687,0.03817,0.0229,0.09924,0.08397,0.0458,0.03817,0.1145,0.03053,0.03053,0.0229,0.0687,0.05344,0.09924,0.00763,0.0229
rickettsia parkeri,pcuac_only,131,14757.83,9.069,-0.0672,0.09924,0.06107,0.00763,0.0687,0.01527,0.0687,0.03817,0.0229,0.09924,0.08397,0.0458,0.03817,0.1145,0.03053,0.03053,0.0229,0.0687,0.05344,0.09924,0.00763,0.0229
brucella microti,pcuac_only,142,15306.7,7.871,-0.0908,0.0493,0.11268,0.00704,0.04225,0.07746,0.03521,0.07746,0.03521,0.0493,0.09859,0.07042,0.05634,0.01408,0.05634,0.02113,0.02817,0.06338,0.0493,0.09155,0,0.01408
pseudomonas fulva,pcuac_only,140,15274.5,6.821,-0.1493,0.05714,0.15,0,0.03571,0.06429,0.03571,0.05714,0.06429,0.02143,0.07143,0.07857,0.05,0.03571,0.07143,0.05714,0.02143,0.01429,0.04286,0.10714,0.00714,0.01429
pseudomonas monteilii,pcuac_only,131,13882.04,8.28,0.0885,0.01527,0.12214,0,0.03053,0.06107,0.00763,0.0687,0.03817,0.01527,0.0687,0.09924,0.06107,0.03053,0.03817,0.03817,0.03053,0.06107,0.08397,0.1374,0.00763,0
pseudomonas savastanoi,pcuac_only,134,14617.83,6.275,0.0784,0.05224,0.13433,0,0.05224,0.04478,0.02985,0.05224,0.06716,0.03731,0.05224,0.1194,0.04478,0.02239,0.07463,0.0597,0.02239,0.04478,0.02239,0.09701,0.01493,0.00746
pseudomonas kurunegalensis,pcuac_only,131,13882.04,8.28,0.0885,0.01527,0.12214,0,0.03053,0.06107,0.00763,0.0687,0.03817,0.01527,0.0687,0.09924,0.06107,0.03053,0.03817,0.03817,0.03053,0.06107,0.08397,0.1374,0.00763,0
azospirillum himalayense,pcuac_only,136,14158.06,6.29,0.0257,0.03676,0.13235,0,0.05147,0.02941,0.02206,0.08088,0.06618,0.01471,0.03676,0.11029,0.03676,0.01471,0.10294,0.03676,0.02206,0.07353,0.05882,0.09559,0.00735,0.00735
unclassified candidatus,pcuac_only,131,14516.69,7.769,0.113,0.06107,0.06107,0.01527,0.06107,0.03053,0.03817,0.03053,0.01527,0.0687,0.07634,0.10687,0.03817,0.09924,0.0229,0.03053,0.0229,0.0916,0.05344,0.1145,0.00763,0.01527
achromobacter aegrifaciens,pcuac_only,141,14994.81,5.68,-0.178,0.05674,0.14894,0.00709,0.06383,0.06383,0.02837,0.08511,0.03546,0.02837,0.06383,0.07092,0.02837,0.02837,0.04965,0.03546,0.03546,0.04965,0.04965,0.09929,0.01418,0.01418
pseudomonas gessardii,pcuac_only,130,13601.57,6.062,0.0277,0.02308,0.13846,0,0.06154,0.04615,0.00769,0.08462,0.03077,0.02308,0.06154,0.10769,0.05385,0,0.05385,0.05385,0.03077,0.07692,0.05385,0.1,0.00769,0.00769
pandoraea norimbergensis,pcuac_only,132,14152.12,8.101,-0.1773,0.03788,0.12879,0,0.04545,0.03788,0.01515,0.06818,0.03788,0.00758,0.05303,0.09848,0.04545,0.02273,0.06818,0.07576,0.03788,0.03788,0.09091,0.10606,0.00758,0.01515
pseudomonas allii,pcuac_only,133,13798.91,7.1,0.0925,0.02256,0.1203,0,0.07519,0.02256,0.00752,0.10526,0.03008,0.02256,0.06767,0.09023,0.06015,0,0.06015,0.04511,0.03008,0.06015,0.06015,0.12782,0.00752,0.00752
pseudomonas extremorientalis,pcuac_only,133,13798.91,7.1,0.0925,0.02256,0.1203,0,0.07519,0.02256,0.00752,0.10526,0.03008,0.02256,0.06767,0.09023,0.06015,0,0.06015,0.04511,0.03008,0.06015,0.06015,0.12782,0.00752,0.00752
bradyrhizobium erythrophlei,pcuac_only,143,15240.52,9.187,-0.1769,0.03497,0.07692,0,0.06294,0.04196,0.01399,0.11189,0.02797,0.04196,0.09091,0.0979,0.04895,0.02797,0.04895,0.02098,0.03497,0.04895,0.09091,0.09091,0.00699,0.01399
unclassified thioclava,pcuac_only,136,15149.52,6.047,-0.0699,0.04412,0.08088,0,0.04412,0.08088,0.03676,0.06618,0.04412,0.05882,0.05882,0.10294,0.07353,0.03676,0.04412,0.05147,0.04412,0.05882,0.02206,0.08824,0,0.00735
thioclava electrotropha,pcuac_only,136,15149.52,6.047,-0.0699,0.04412,0.08088,0,0.04412,0.08088,0.03676,0.06618,0.04412,0.05882,0.05882,0.10294,0.07353,0.03676,0.04412,0.05147,0.04412,0.05882,0.02206,0.08824,0,0.00735
paracoccus tibetensis,pcuac_only,133,13918.83,4.396,0.4075,0.05263,0.14286,0,0.05263,0.06767,0.03008,0.07519,0.02256,0.06767,0.01504,0.07519,0.04511,0.02256,0.06767,0.01504,0.03008,0.05263,0.08271,0.11278,0.00752,0.01504
uncultured methylobacterium,pcuac_only,143,14622.83,9.049,0.1699,0.04196,0.17483,0,0.02797,0.05594,0.02098,0.12587,0.04196,0.02098,0.05594,0.11189,0.03497,0.00699,0.06993,0.00699,0.04196,0.02797,0.06993,0.08392,0.00699,0.01399
phytopseudomonas straminea,pcuac_only,140,15274.5,6.821,-0.1493,0.05714,0.15,0,0.03571,0.06429,0.03571,0.05714,0.06429,0.02143,0.07143,0.07857,0.05,0.03571,0.07143,0.05714,0.02143,0.01429,0.04286,0.10714,0.00714,0.01429
pseudidiomarina tainanensis,pcuac_only,131,14338.43,6.331,0.1168,0.08397,0.10687,0,0.03053,0.0687,0.05344,0.08397,0.0229,0.0458,0.03817,0.0687,0.05344,0.0458,0.0458,0.0229,0.05344,0.03817,0.07634,0.1145,0.01527,0.01527
pseudomonas wadenswilerensis,pcuac_only,134,14836.95,6.278,-0.1254,0.05224,0.10448,0,0.05224,0.05224,0.02985,0.03731,0.06716,0.02985,0.04478,0.10448,0.04478,0.04478,0.08955,0.04478,0.03731,0.05224,0.02985,0.11194,0.00746,0.01493
paracoccus aestuarii,pcuac_only,133,13918.83,4.396,0.4075,0.05263,0.14286,0,0.05263,0.06767,0.03008,0.07519,0.02256,0.06767,0.01504,0.07519,0.04511,0.02256,0.06767,0.01504,0.03008,0.05263,0.08271,0.11278,0.00752,0.01504
rickettsia asiatica,pcuac_only,131,14611.6,8.734,-0.0336,0.09924,0.06107,0.00763,0.0687,0.01527,0.0687,0.0458,0.01527,0.10687,0.07634,0.03817,0.03817,0.10687,0.03053,0.03053,0.0229,0.08397,0.06107,0.0916,0.00763,0.0229
pandoraea iniqua,pcuac_only,132,14152.12,8.101,-0.1773,0.03788,0.12879,0,0.04545,0.03788,0.01515,0.06818,0.03788,0.00758,0.05303,0.09848,0.04545,0.02273,0.06818,0.07576,0.03788,0.03788,0.09091,0.10606,0.00758,0.01515
vibrio antiquarius,pcuac_only,143,15729.06,6.344,-0.0902,0.05594,0.11189,0,0.04895,0.06993,0.04895,0.05594,0.06993,0.08392,0.07692,0.06993,0.04895,0.04196,0.06993,0.02098,0.02098,0.04895,0.03497,0.06993,0.00699,0
bradyrhizobium uaiense,pcuac_only,143,15110.33,8.927,-0.0895,0.03497,0.11189,0,0.06294,0.04196,0.02098,0.1049,0.02797,0.03497,0.08392,0.0979,0.04895,0.03497,0.04196,0.02098,0.03497,0.04196,0.08392,0.09091,0.00699,0.00699
pseudomonas serbica,pcuac_only,134,14494.51,6.015,0.0604,0.05224,0.14925,0,0.04478,0.05224,0.02985,0.04478,0.0597,0.02985,0.03731,0.11194,0.04478,0.04478,0.06716,0.04478,0.02985,0.0597,0.02985,0.09701,0.00746,0.01493
achromobacter anxifer,pcuac_only,141,14994.81,5.68,-0.178,0.05674,0.14894,0.00709,0.06383,0.06383,0.02837,0.08511,0.03546,0.02837,0.06383,0.07092,0.02837,0.02837,0.04965,0.03546,0.03546,0.04965,0.04965,0.09929,0.01418,0.01418
xanthobacter flavus,pcuac_only,143,14651.74,6.404,0.1727,0.04895,0.15385,0,0.01399,0.06294,0.02797,0.13986,0.02797,0.02098,0.02797,0.0979,0.04895,0.02098,0.06294,0.02797,0.04196,0.02098,0.0979,0.08392,0.00699,0.01399
phyllobacterium calauticae,pcuac_only,134,14262.58,6.915,0.0149,0.03731,0.12687,0,0.04478,0.08209,0.02985,0.10448,0.02985,0.02985,0.09701,0.1194,0.05224,0.01493,0.04478,0.02239,0.02985,0.02239,0.05224,0.08955,0,0.00746
bradyrhizobium altum,pcuac_only,143,15240.52,9.187,-0.1769,0.03497,0.07692,0,0.06294,0.04196,0.01399,0.11189,0.02797,0.04196,0.09091,0.0979,0.04895,0.02797,0.04895,0.02098,0.03497,0.04895,0.09091,0.09091,0.00699,0.01399
bradyrhizobium acaciae,pcuac_only,143,15110.33,8.927,-0.0895,0.03497,0.11189,0,0.06294,0.04196,0.02098,0.1049,0.02797,0.03497,0.08392,0.0979,0.04895,0.03497,0.04196,0.02098,0.03497,0.04196,0.08392,0.09091,0.00699,0.00699
vibrio floridensis,pcuac_only,131,14108.4,8.02,0.0916,0.0458,0.1374,0,0.05344,0.05344,0.03817,0.05344,0.03817,0.0458,0.0916,0.07634,0.06107,0.03817,0.05344,0.0229,0.0229,0.0458,0.0458,0.1145,0,0.00763
pseudomonas shahriarae,pcuac_only,130,13601.57,6.062,0.0277,0.02308,0.13846,0,0.06154,0.04615,0.00769,0.08462,0.03077,0.02308,0.06154,0.10769,0.05385,0,0.05385,0.05385,0.03077,0.07692,0.05385,0.1,0.00769,0.00769
uncultured phyllobacterium,pcuac_only,134,14262.58,6.915,0.0149,0.03731,0.12687,0,0.04478,0.08209,0.02985,0.10448,0.02985,0.02985,0.09701,0.1194,0.05224,0.01493,0.04478,0.02239,0.02985,0.02239,0.05224,0.08955,0,0.00746
methylobacterium ajmalii,pcuac_only,143,14622.83,9.049,0.1699,0.04196,0.17483,0,0.02797,0.05594,0.02098,0.12587,0.04196,0.02098,0.05594,0.11189,0.03497,0.00699,0.06993,0.00699,0.04196,0.02797,0.06993,0.08392,0.00699,0.01399
shewanella vaxholmensis,pcuac_only,132,14359.42,5.677,0.0705,0.03788,0.09848,0.00758,0.05303,0.06818,0.0303,0.06061,0.06061,0.04545,0.05303,0.12121,0.03788,0.02273,0.04545,0.04545,0.02273,0.03788,0.08333,0.09848,0,0.00758
pseudomonas japonica,pcuac_only,134,14836.95,6.278,-0.1254,0.05224,0.10448,0,0.05224,0.05224,0.02985,0.03731,0.06716,0.02985,0.04478,0.10448,0.04478,0.04478,0.08955,0.04478,0.03731,0.05224,0.02985,0.11194,0.00746,0.01493
candidatus tisiphia,pcuac_only,131,14516.69,7.769,0.113,0.06107,0.06107,0.01527,0.06107,0.03053,0.03817,0.03053,0.01527,0.0687,0.07634,0.10687,0.03817,0.09924,0.0229,0.03053,0.0229,0.0916,0.05344,0.1145,0.00763,0.01527
paenochrobactrum pullorum,pcuac_only,140,14844.95,5.825,0.0436,0.04286,0.13571,0,0.03571,0.07857,0.02143,0.07143,0.04286,0.03571,0.06429,0.09286,0.05714,0.03571,0.05,0.00714,0.02143,0.07143,0.06429,0.09286,0,0.02143
xanthobacter wiegelii,pcuac_only,143,14651.74,6.404,0.1727,0.04895,0.15385,0,0.01399,0.06294,0.02797,0.13986,0.02797,0.02098,0.02797,0.0979,0.04895,0.02098,0.06294,0.02797,0.04196,0.02098,0.0979,0.08392,0.00699,0.01399
pseudomonas cyclaminis,pcuac_only,140,15203.38,6.366,-0.0093,0.05714,0.13571,0,0.02143,0.08571,0.03571,0.07143,0.07143,0.02857,0.06429,0.11429,0.03571,0.01429,0.05,0.05,0.02143,0.05,0.03571,0.09286,0.00714,0.01429
brucella amazoniensis,pcuac_only,142,15306.7,7.871,-0.0908,0.0493,0.11268,0.00704,0.04225,0.07746,0.03521,0.07746,0.03521,0.0493,0.09859,0.07042,0.05634,0.01408,0.05634,0.02113,0.02817,0.06338,0.0493,0.09155,0,0.01408
unclassified paenochrobactrum,pcuac_only,140,14844.95,5.825,0.0436,0.04286,0.13571,0,0.03571,0.07857,0.02143,0.07143,0.04286,0.03571,0.06429,0.09286,0.05714,0.03571,0.05,0.00714,0.02143,0.07143,0.06429,0.09286,0,0.02143
profundibacterium mesophilum,pcuac_only,133,13613.52,4.629,0.2376,0.03008,0.13534,0,0.02256,0.08271,0.01504,0.09774,0.01504,0.03759,0.03759,0.09023,0.05263,0.03759,0.07519,0.01504,0.01504,0.06015,0.09023,0.10526,0.00752,0.00752
vibrio chemaguriensis,pcuac_only,143,15729.06,6.344,-0.0902,0.05594,0.11189,0,0.04895,0.06993,0.04895,0.05594,0.06993,0.08392,0.07692,0.06993,0.04895,0.04196,0.06993,0.02098,0.02098,0.04895,0.03497,0.06993,0.00699,0
