species,rep_taxid,organism_name,nirK_present,pcuac_present,nirK_rep_accession,pcuac_rep_accession,class
acrocarpospora phusangensis,1070424,Acrocarpospora phusangensis,1,1,WP_275419248.1,WP_204040726.1,both
acrocarpospora pleiomorpha,90975,Acrocarpospora pleiomorpha,1,1,WP_344318417.1,WP_155348599.1,both
acrocarpospora sp.,3153572,Acrocarpospora sp. B8E8,1,1,WP_347589790.1,WP_347587931.1,both
actibacterium actibacterium,1433986,Actibacterium;Actibacterium sp. EMB200-NS6;Actibacterium naphthalenivorans,1,1,WP_157445594.1,WP_054537859.1,both
actibacterium atlanticum,1461693,Actibacterium atlanticum,0,1,N/A,WP_035252935.1,pcuac_only
actibacterium lipolyticum,1524263,Actibacterium lipolyticum,0,1,N/A,WP_093965896.1,pcuac_only
actibacterium mucosum,1087332,Actibacterium mucosum;Actibacterium mucosum KCTC 23349,0,1,N/A,WP_035258403.1,pcuac_only
actibacterium pelagium,2029103,Actibacterium pelagium,0,1,N/A,WP_095595781.1,pcuac_only
actibacterium sp.,1872125,Actibacterium sp.,1,1,WP_463022151.1,WP_372604254.1,both
actibacterium ureilyticum,1590614,Actibacterium ureilyticum,1,1,WP_095587518.1,WP_095588801.1,both
actimicrobium antarcticum,1051899,Actimicrobium antarcticum,1,1,WP_344762016.1,WP_344763149.1,both
actimicrobium sp.,3048616,Actimicrobium sp. CCI2.3,1,1,WP_322126005.1,WP_322128915.1,both
actinacidiphila acididurans,2784346,Actinacidiphila acididurans,1,0,WP_205363984.1,N/A,nirK_only
actinacidiphila epipremni,2053013,Actinacidiphila epipremni,1,0,WP_167984169.1,N/A,nirK_only
actinacidiphila oryziradicis,2571141,Actinacidiphila oryziradicis,1,0,WP_136725017.1,N/A,nirK_only
actinoallomurus acanthiterrae,1136071,Actinoallomurus acanthiterrae,1,0,WP_460344782.1,N/A,nirK_only
actinoallomurus sp.,3154937,Actinoallomurus sp. NPDC050550,1,0,WP_360879935.1,N/A,nirK_only
actinoalloteichus actinoalloteichus,65496,Actinoalloteichus;Actinoalloteichus sp. AHMU CJ021;Actinoalloteichus caeruleus,0,1,N/A,WP_030106622.1,pcuac_only
actinoalloteichus caeruleus,2893586,Actinoalloteichus caeruleus,0,1,N/A,WP_463343482.1,pcuac_only
actinoalloteichus hymeniacidonis,340345,Actinoalloteichus hymeniacidonis,0,1,N/A,WP_069847285.1,pcuac_only
actinoalloteichus spitiensis,252394,Actinoalloteichus spitiensis;Actinoalloteichus spitiensis RMV-1378,0,1,N/A,WP_016699546.1,pcuac_only
actinobacillus arthritidis,157339,Actinobacillus arthritidis,1,0,WP_279445225.1,N/A,nirK_only
actinobacillus equuli,718,Actinobacillus equuli;Actinobacillus equuli subsp. equuli,1,0,WP_279439359.1,N/A,nirK_only
actinobacillus genomosp.,254839,Actinobacillus genomosp. 1,1,0,WP_279475709.1,N/A,nirK_only
actinobacillus lignieresii,720,Actinobacillus lignieresii,1,0,WP_126375497.1,N/A,nirK_only
actinobacillus minor,51047,Actinobacillus minor;Actinobacillus minor 202,1,0,WP_005820603.1,N/A,nirK_only
actinobacillus pleuropneumoniae,715,Actinobacillus pleuropneumoniae,1,0,WP_267978415.1,N/A,nirK_only
actinobacillus porcinus,51048,Actinobacillus porcinus,1,0,WP_273314894.1,N/A,nirK_only
actinobacillus porcitonsillarum,189834,Actinobacillus porcitonsillarum,1,0,WP_108923393.1,N/A,nirK_only
actinobacillus succinogenes,67854,Actinobacillus succinogenes;Actinobacillus succinogenes 130Z,1,0,WP_012072723.1,N/A,nirK_only
actinobacillus suis,716,Actinobacillus suis,1,0,WP_254240724.1,N/A,nirK_only
actinobacillus ureae,723,Actinobacillus ureae;Actinobacillus ureae ATCC 25976,1,0,WP_005622175.1,N/A,nirK_only
actinobacillus vicugnae,2573093,Actinobacillus vicugnae,1,0,WP_208790047.1,N/A,nirK_only
actinobaculum sp.,712888,Actinobaculum sp. oral taxon 183;Actinobaculum sp. oral taxon 183 str. F0552,1,0,WP_040318128.1,N/A,nirK_only
actinocatenispora comari,2807577,Actinocatenispora comari,1,0,WP_207125593.1,N/A,nirK_only
actinocatenispora sera,390989,Actinocatenispora sera,1,0,WP_051801399.1,N/A,nirK_only
actinocorallia aurantiaca,46204,Actinocorallia aurantiaca,0,1,N/A,WP_344449631.1,pcuac_only
actinocorallia herbida,58109,Actinocorallia herbida,0,1,N/A,WP_123665434.1,pcuac_only
actinocorallia libanotica,46162,Actinocorallia libanotica,1,1,WP_344236209.1,WP_344241360.1,both
actinocorallia longicatena,111803,Actinocorallia longicatena,0,1,N/A,WP_344824033.1,pcuac_only
actinocorallia populi,2079200,Actinocorallia populi,0,1,N/A,WP_106399523.1,pcuac_only
actinocorallia sp.,3153558,Actinocorallia sp. B10E7,1,1,WP_347679859.1,WP_347674372.1,both
actinocrinis puniceicyclus,977794,Actinocrinis puniceicyclus,1,0,WP_211471153.1,N/A,nirK_only
actinokineospora alba,504798,Actinokineospora alba,1,0,WP_228770238.1,N/A,nirK_only
actinokineospora guangxiensis,1490288,Actinokineospora guangxiensis,0,1,N/A,WP_378249429.1,pcuac_only
actinokineospora iranica,1271860,Actinokineospora iranica,1,0,WP_091456173.1,N/A,nirK_only
actinokineospora sp.,1872133,Actinokineospora sp.,1,0,WP_444831074.1,N/A,nirK_only
actinokineospora xionganensis,2684470,Actinokineospora xionganensis,1,0,WP_187220551.1,N/A,nirK_only
actinomadura bangladeshensis,453573,Actinomadura bangladeshensis,1,0,WP_163059781.1,N/A,nirK_only
actinomadura chokoriensis,454156,Actinomadura chokoriensis,1,1,WP_346048778.1,WP_346042186.1,both
actinomadura craniellae,2231787,Actinomadura craniellae,0,1,N/A,WP_111862885.1,pcuac_only
actinomadura darangshiensis,705336,Actinomadura darangshiensis,1,1,WP_132196376.1,WP_207938582.1,both
actinomadura formosensis,60706,Actinomadura formosensis,1,0,WP_433229108.1,N/A,nirK_only
actinomadura geliboluensis,882440,Actinomadura geliboluensis,1,0,WP_451921717.1,N/A,nirK_only
actinomadura hallensis,337895,Actinomadura hallensis,1,0,WP_141966898.1,N/A,nirK_only
actinomadura keratinilytica,547461,Actinomadura keratinilytica,1,1,WP_378272574.1,WP_345022560.1,both
actinomadura latina,163603,Actinomadura latina;Actinomadura latina NBRC 106108,1,0,WP_067634981.1,N/A,nirK_only
actinomadura livida,79909,Actinomadura livida,1,0,WP_184881630.1,N/A,nirK_only
actinomadura logoneensis,2293572,Actinomadura logoneensis,1,0,WP_147341024.1,N/A,nirK_only
actinomadura luteofluorescens,46163,Actinomadura luteofluorescens,1,0,WP_396079576.1,N/A,nirK_only
actinomadura madurae,1993,Actinomadura madurae,1,0,WP_255282544.1,N/A,nirK_only
actinomadura meyerae,240840,Actinomadura meyerae,1,0,WP_089328826.1,N/A,nirK_only
actinomadura monticuli,3097367,Actinomadura monticuli,1,0,WP_371947625.1,N/A,nirK_only
actinomadura parvosata,1909395,[Actinomadura] parvosata subsp. kistnae;[Actinomadura] parvosata,1,1,WP_246005525.1,WP_222107679.1,both
actinomadura rubrobrunea,115335,Actinomadura rubrobrunea;Actinomadura rubrobrunea NBRC 15275,1,1,WP_067914316.1,WP_227023004.1,both
actinomadura sediminis,1038904,Actinomadura sediminis,0,1,N/A,WP_378299651.1,pcuac_only
actinomadura sp.,2530365,Actinomadura sp. 7K507,1,1,WP_207946765.1,WP_285492623.1,both
actinomadura viridis,58110,Actinomadura viridis,1,1,WP_386927751.1,WP_197011856.1,both
actinomadura welshii,3103817,Actinomadura welshii,1,0,WP_024935164.1,N/A,nirK_only
actinomarinicola tropica,2789776,Actinomarinicola tropica,1,1,WP_195210532.1,WP_153759986.1,both
actinomyces actinomyces,1654,Actinomyces;Actinomyces oris;Actinomyces sp. oral taxon 175 str. F0384,1,0,WP_009407286.1,N/A,nirK_only
actinomyces bouchesdurhonensis,1852361,Actinomyces bouchesdurhonensis,1,0,WP_472208423.1,N/A,nirK_only
actinomyces bowdenii,131109,Actinomyces bowdenii,1,0,WP_179901206.1,N/A,nirK_only
actinomyces capricornis,2755559,Actinomyces capricornis,1,0,WP_223910529.1,N/A,nirK_only
actinomyces culturomici,1926276,Actinomyces culturomici,1,0,WP_407923468.1,N/A,nirK_only
actinomyces dentalis,272548,Actinomyces dentalis,1,0,WP_315213344.1,N/A,nirK_only
actinomyces denticolens,52767,Actinomyces denticolens,1,0,WP_073451119.1,N/A,nirK_only
actinomyces faecalis,2722820,Actinomyces faecalis,1,0,WP_172192323.1,N/A,nirK_only
actinomyces gaoshouyii,1960083,Actinomyces gaoshouyii,1,0,WP_080461960.1,N/A,nirK_only
actinomyces gerencseriae,52769,Actinomyces gerencseriae;Actinomyces gerencseriae DSM 6844,1,0,WP_026407888.1,N/A,nirK_only
actinomyces glycerinitolerans,1892869,Actinomyces glycerinitolerans,1,0,WP_244542516.1,N/A,nirK_only
actinomyces graevenitzii,55565,Actinomyces graevenitzii,1,0,WP_102239874.1,N/A,nirK_only
actinomyces haliotis,1280843,Actinomyces haliotis,1,0,WP_194784437.1,N/A,nirK_only
actinomyces israelii,1659,Actinomyces israelii,1,0,WP_454930687.1,N/A,nirK_only
actinomyces johnsonii,544581,Actinomyces johnsonii,1,0,WP_141425131.1,N/A,nirK_only
actinomyces lilanjuaniae,2321394,Actinomyces lilanjuaniae,1,0,WP_120203879.1,N/A,nirK_only
actinomyces marmotae,2737173,Actinomyces marmotae,1,0,WP_159524215.1,N/A,nirK_only
actinomyces marseillensis,1852376,Actinomyces marseillensis,1,0,WP_072457223.1,N/A,nirK_only
actinomyces massiliensis,461393,Actinomyces massiliensis,1,0,WP_315071730.1,N/A,nirK_only
actinomyces minihominis,2002838,Actinomyces minihominis,1,0,WP_099332603.1,N/A,nirK_only
actinomyces naeslundii,1655,Actinomyces naeslundii,1,0,WP_075406530.1,N/A,nirK_only
actinomyces oris,544580,Actinomyces oris,1,0,WP_075376337.1,N/A,nirK_only
actinomyces polynesiensis,1325934,Actinomyces polynesiensis,1,0,WP_052450537.1,N/A,nirK_only
actinomyces provencensis,1720198,Actinomyces provencensis,1,0,WP_075892052.1,N/A,nirK_only
actinomyces qiguomingii,2057800,Actinomyces qiguomingii,1,0,WP_168190758.1,N/A,nirK_only
actinomyces radicidentis,111015,Actinomyces radicidentis,1,0,WP_315502831.1,N/A,nirK_only
actinomyces ruminicola,332524,Actinomyces ruminicola,1,0,WP_092610473.1,N/A,nirK_only
actinomyces slackii,52774,Actinomyces slackii,1,0,WP_415504541.1,N/A,nirK_only
actinomyces sp.,712117,Actinomyces sp. oral taxon 170;Actinomyces sp. oral taxon 170 str. F0386,1,0,WP_009403165.1,N/A,nirK_only
actinomyces stomatis,3050227,Actinomyces stomatis,1,0,WP_309322894.1,N/A,nirK_only
actinomyces succiniciruminis,1522002,Actinomyces succiniciruminis,1,0,WP_244671755.1,N/A,nirK_only
actinomyces timonensis,1288391,Actinomyces timonensis,1,0,WP_366181141.1,N/A,nirK_only
actinomyces trachealis,2763540,Actinomyces trachealis,1,0,WP_196716876.1,N/A,nirK_only
actinomyces urogenitalis,103621,Actinomyces urogenitalis;Actinomyces urogenitalis DSM 15434,1,0,WP_081449203.1,N/A,nirK_only
actinomyces viscosus,1656,Actinomyces viscosus,1,0,WP_126414010.1,N/A,nirK_only
actinomyces vulturis,1857645,Actinomyces vulturis,1,0,WP_083090338.1,N/A,nirK_only
actinomycetaceae actinomyces,1321775,Actinomycetaceae;Actinomyces sp. oral taxon 172 str. F0311;Schaalia sp. HMT-172,1,0,WP_021612524.1,N/A,nirK_only
actinomycetaceae tongtianella,2049,Actinomycetaceae;Tongtianella jiaweipingae;Actinomyces sp. ZJ751;Actinomyces respiraculi,1,0,WP_166855285.1,N/A,nirK_only
actinomycetes actinocorallia,46203,Actinomycetes;Actinocorallia glomerata;Nesterenkonia aethiopica,0,1,N/A,WP_344685991.1,pcuac_only
actinomycetes corynebacterium,160386,Actinomycetes;Corynebacterium casei;Glutamicibacter ardleyensis,0,1,N/A,WP_442334672.1,pcuac_only
actinomycetes streptomyces,304899,Actinomycetes;Streptomyces griseorubens;Streptomyces althioticus;Actinospica acidiphila;Streptomyces sp. enrichment culture;Streptomyces sp. P13-3-3,0,1,N/A,WP_033273310.1,pcuac_only
actinophytocola oryzae,502181,Actinophytocola oryzae,1,0,WP_133901313.1,N/A,nirK_only
actinophytocola sp.,1872138,Actinophytocola sp.,1,0,WP_325157483.1,N/A,nirK_only
actinoplanes campanulatus,113559,Actinoplanes campanulatus,1,0,WP_183226834.1,N/A,nirK_only
actinoplanes derwentensis,113562,Actinoplanes derwentensis,1,0,WP_092555515.1,N/A,nirK_only
actinoplanes flavus,2820290,Actinoplanes flavus,1,0,WP_307798641.1,N/A,nirK_only
actinoplanes friuliensis,196914,Actinoplanes friuliensis;Actinoplanes friuliensis DSM 7358,0,1,N/A,WP_041840859.1,pcuac_only
actinoplanes hulinensis,1144547,Actinoplanes hulinensis,1,0,WP_220149230.1,N/A,nirK_only
actinoplanes lobatus,113568,Actinoplanes lobatus,1,0,WP_188123297.1,N/A,nirK_only
actinoplanes missouriensis,1866,Actinoplanes missouriensis,1,0,WP_360844958.1,N/A,nirK_only
actinoplanes nipponensis,135950,Actinoplanes nipponensis,1,0,WP_344932705.1,N/A,nirK_only
actinoplanes oblitus,3040509,Actinoplanes oblitus,1,0,WP_284921643.1,N/A,nirK_only
actinoplanes philippinensis,35752,Actinoplanes philippinensis,1,0,WP_360300903.1,N/A,nirK_only
actinoplanes sandaracinus,3045177,Actinoplanes sandaracinus,0,1,N/A,WP_282763629.1,pcuac_only
actinoplanes sichuanensis,512349,Actinoplanes sichuanensis,1,0,WP_317792838.1,N/A,nirK_only
actinoplanes sp.,3154598,Actinoplanes sp. NPDC024001,1,1,WP_360189180.1,WP_364469320.1,both
actinoplanes subglobosus,1547892,Actinoplanes subglobosus,0,1,N/A,WP_378070762.1,pcuac_only
actinoplanes teichomyceticus,1867,Actinoplanes teichomyceticus;Actinoplanes teichomyceticus ATCC 31121,1,0,WP_122978565.1,N/A,nirK_only
actinoplanes xinjiangensis,512350,Actinoplanes xinjiangensis,0,1,N/A,WP_109602154.1,pcuac_only
actinopolymorpha pittospori,648752,Actinopolymorpha pittospori,1,1,WP_192750591.1,WP_337917463.1,both
actinopolymorpha rutila,446787,Actinopolymorpha rutila,1,0,WP_179786977.1,N/A,nirK_only
actinopolymorpha sp.,3160862,Actinopolymorpha sp. B11F2,1,0,WP_349691467.1,N/A,nirK_only
actinorectispora metalli,1873423,Actinorectispora metalli,1,0,WP_476310617.1,N/A,nirK_only
actinorhabdospora filicis,1785913,Actinorhabdospora filicis,0,1,N/A,WP_285664663.1,pcuac_only
actinorugispora endophytica,1605990,Actinorugispora endophytica,1,1,WP_133741233.1,WP_133742392.1,both
actinosynnema actinosynnema,40566,Actinosynnema;Actinosynnema pretiosum;Actinosynnema pretiosum subsp. pretiosum;Actinosynnema sp. NPDC000082,1,0,WP_253847718.1,N/A,nirK_only
actinosynnema mirum,40567,Actinosynnema mirum;Actinosynnema mirum DSM 43827,1,0,WP_015803468.1,N/A,nirK_only
actinosynnema pretiosum,42198,Actinosynnema pretiosum;Actinosynnema pretiosum subsp. auranticum,1,0,WP_096495728.1,N/A,nirK_only
actinotalea alkalitolerans,2939438,Actinotalea alkalitolerans,1,0,WP_249382991.1,N/A,nirK_only
actinotalea endophytica,2983762,Actinotalea endophytica,0,1,N/A,WP_263578770.1,pcuac_only
actinotalea fermentans,43671,Actinotalea fermentans,1,1,WP_146819017.1,WP_034249115.1,both
actinotalea ferrariae,948458,Actinotalea ferrariae CF5-4;Actinotalea ferrariae,1,0,WP_155855442.1,N/A,nirK_only
actinotalea lenta,3064654,Actinotalea lenta,1,1,WP_304605692.1,WP_304601479.1,both
actinotalea solisilvae,2072922,Actinotalea solisilvae,1,0,WP_199424141.1,N/A,nirK_only
actinotalea sp.,2866571,Actinotalea sp. Marseille-Q4924,1,0,WP_225754658.1,N/A,nirK_only
actinotalea subterranea,2607497,Actinotalea subterranea,1,0,WP_149205307.1,N/A,nirK_only
actomonas aquatica,2866162,Actomonas aquatica,1,0,WP_221033223.1,N/A,nirK_only
acuticoccus kalidii,2910977,Acuticoccus kalidii,0,1,N/A,WP_304523964.1,pcuac_only
acuticoccus kandeliae,2073160,Acuticoccus kandeliae,1,1,WP_108658286.1,WP_108663333.1,both
acuticoccus mangrovi,2796142,Acuticoccus mangrovi,0,1,N/A,WP_211110501.1,pcuac_only
acuticoccus sediminis,2184697,Acuticoccus sediminis,1,1,WP_111352592.1,WP_226580926.1,both
acuticoccus sp.,3072793,Acuticoccus sp. MNP-M23,1,1,WP_309199713.1,WP_309197654.1,both
acuticoccus yangtzensis,1443441,Acuticoccus yangtzensis,0,1,N/A,WP_108676495.1,pcuac_only
adhaeretor mobilis,1930276,Adhaeretor mobilis,1,0,WP_145060498.1,N/A,nirK_only
advenella alkanexedens,1481665,Advenella alkanexedens,1,0,WP_217734401.1,N/A,nirK_only
advenella faeciporci,797535,Advenella faeciporci,1,1,WP_189385904.1,WP_189384087.1,both
advenella incenata,267800,Advenella incenata,0,1,N/A,WP_462065008.1,pcuac_only
