accession,protein_type,length,taxid,organism_name,species,species_resolved,is_representative,representative_selection_reason
WP_002246339.1,NirK,390,1095665;1095673;1095675;1095676;1095678;1095694;1095696;1145124;1145125;1145126;1145128;1145132;1145134;1145135;1145136;1145137;487;942513,Neisseria meningitidis;Neisseria meningitidis WUE 2594;Neisseria meningitidis 63006;Neisseria meningitidis 97020;Neisseria meningitidis 65014;Neisseria meningitidis 96023;Neisseria meningitidis 63049;Neisseria meningitidis 63041;Neisseria meningitidis 88050;Neisseria meningitidis 94018;Neisseria meningitidis 75643;Neisseria meningitidis 75689;Neisseria meningitidis 97018;Neisseria meningitidis 65012;Neisseria meningitidis 97027;Neisseria meningitidis 96024;Neisseria meningitidis 97008;Neisseria meningitidis 98005,neisseria meningitidis,1,FALSE,
WP_002248325.1,NirK,390,1095685;1095686;1145166;1145170;1145173;1145174;487,Neisseria meningitidis;Neisseria meningitidis M7124;Neisseria meningitidis M7089;Neisseria meningitidis 2000081;Neisseria meningitidis 2004264;Neisseria meningitidis 2001068;Neisseria meningitidis 2005040,neisseria meningitidis,1,FALSE,
WP_002249698.1,NirK,390,1095668;1095669;1095670;1095671;1095677;1145122;1145138;1145139;1145140;1145141;1145143;1145144;487,Neisseria meningitidis;Neisseria meningitidis 2001212;Neisseria meningitidis 2007056;Neisseria meningitidis NM3642;Neisseria meningitidis NM3652;Neisseria meningitidis 2004090;Neisseria meningitidis 2000080;Neisseria meningitidis 2004085;Neisseria meningitidis 2003022;Neisseria meningitidis 2000063;Neisseria meningitidis 2002007;Neisseria meningitidis NM606;Neisseria meningitidis NM607,neisseria meningitidis,1,FALSE,
WP_002251430.1,NirK,390,1095667;487,Neisseria meningitidis;Neisseria meningitidis 77221,neisseria meningitidis,1,FALSE,
WP_002254502.1,NirK,388,1145146;487,Neisseria meningitidis;Neisseria meningitidis NM23,neisseria meningitidis,1,FALSE,
WP_002258661.1,NirK,392,1145168;1145176;1906581;482;487,Neisseria;Neisseria meningitidis;Neisseria meningitidis 2004032;Neisseria meningitidis 2007461;Neisseria bergeri,neisseria meningitidis,1,TRUE,longest_validated_sequence
WP_002261688.1,NirK,386,487;562020,Neisseria meningitidis;Neisseria meningitidis N1568,neisseria meningitidis,1,FALSE,
WP_002512805.1,NirK,314,1091045;1226748;1747;1905725;1912216;2899272;679194;765079;765080,Cutibacterium acnes;Cutibacterium acnes J139;Cutibacterium acnes HL110PA3;Cutibacterium acnes HL110PA4;Cutibacterium acnes subsp. defendens ATCC 11828;Cutibacterium acnes HL042PA3;Cutibacterium acnes subsp. defendens;Cutibacterium;Cutibacterium sp. 37298,cutibacterium acnes,1,TRUE,longest_validated_sequence
WP_002515794.1,NirK,314,1122995;1747;679195;765074;765075,Cutibacterium acnes;Cutibacterium acnes J165;Cutibacterium acnes HL072PA1;Cutibacterium acnes HL072PA2;Cutibacterium acnes DSM 1897,cutibacterium acnes,1,FALSE,
WP_002517274.1,NirK,314,1747;686659;765067;765077;765078;765086;765089,Cutibacterium acnes;Cutibacterium acnes SK187;Cutibacterium acnes HL053PA2;Cutibacterium acnes HL110PA1;Cutibacterium acnes HL110PA2;Cutibacterium acnes HL092PA1;Cutibacterium acnes HL025PA1,cutibacterium acnes,1,FALSE,
WP_002518606.1,NirK,314,1182752;1249619;1276648;1302637;1302638;1734925;1747;1912216;3412787;765057;765065;765070;765082;765097;765098;765106;765107;765112;765113;765116;765117;909952,Cutibacterium acnes;Cutibacterium acnes HL096PA3;Cutibacterium acnes HL020PA1;Cutibacterium acnes HL013PA2;Cutibacterium acnes HL087PA2;Cutibacterium acnes HL005PA2;Cutibacterium acnes HL005PA3;Cutibacterium acnes HL036PA1;Cutibacterium acnes HL036PA2;Cutibacterium acnes HL027PA2;Cutibacterium acnes HL063PA1;Cutibacterium acnes HL002PA2;Cutibacterium acnes HL002PA3;Cutibacterium acnes 266;Cutibacterium acnes P07A;Cutibacterium acnes 21G;Cutibacterium acnes hdn-1;Cutibacterium acnes P07B;Cutibacterium acnes P09;Cutibacterium acnes subsp. acnes;Cutibacterium;Cutibacterium sp. KBN10P07757,cutibacterium acnes,1,FALSE,
WP_002519853.1,NirK,314,1134454;1734925;1747;553199;679193;765058;765063;765066;765068;765072;765073;765076;765085;765087;765093;765096;765118;765119,Cutibacterium acnes;Cutibacterium acnes SK137;Cutibacterium acnes SK182;Cutibacterium acnes HL096PA2;Cutibacterium acnes HL099PA1;Cutibacterium acnes HL053PA1;Cutibacterium acnes HL045PA1;Cutibacterium acnes HL043PA1;Cutibacterium acnes HL043PA2;Cutibacterium acnes HL074PA1;Cutibacterium acnes HL038PA1;Cutibacterium acnes HL083PA1;Cutibacterium acnes HL086PA1;Cutibacterium acnes HL005PA1;Cutibacterium acnes HL007PA1;Cutibacterium acnes HL056PA1;Cutibacterium acnes HL096PA1;Cutibacterium acnes subsp. acnes,cutibacterium acnes,1,FALSE,
WP_002520974.1,NirK,314,1249616;1249617;1302640;1747;1905725;765061;765084;765121,Cutibacterium acnes;Cutibacterium acnes HL103PA1;Cutibacterium acnes HL060PA1;Cutibacterium acnes HL082PA2;Cutibacterium acnes 19B1;Cutibacterium acnes 19B2;Cutibacterium acnes P15;Cutibacterium acnes subsp. defendens,cutibacterium acnes,1,FALSE,
WP_002522875.1,NirK,314,1114966;1114969;1136877;1747;1912216;2965101;3413432;765064;765069;765081;765083;765088;765090;765091;765092;765094;765102;765104;765110;765111;765114;765115;765122,Cutibacterium acnes;Cutibacterium acnes HL097PA1;Cutibacterium acnes HL013PA1;Cutibacterium acnes HL087PA1;Cutibacterium acnes HL087PA3;Cutibacterium acnes HL083PA2;Cutibacterium acnes HL025PA2;Cutibacterium acnes HL059PA1;Cutibacterium acnes HL059PA2;Cutibacterium acnes HL046PA1;Cutibacterium acnes HL050PA3;Cutibacterium acnes HL030PA2;Cutibacterium acnes HL067PA1;Cutibacterium acnes HL027PA1;Cutibacterium acnes HL063PA2;Cutibacterium acnes HL002PA1;Cutibacterium acnes HL037PA1;Cutibacterium acnes TypeIA2 P.acn33;Cutibacterium acnes TypeIA2 P.acn31;Cutibacterium acnes PRP-38;Cutibacterium;Cutibacterium sp. SC8-2W;Cutibacterium sp. KBN10P07758,cutibacterium acnes,1,FALSE,
WP_002529289.1,NirK,314,1182753;1182754;1912223;2559073;765109;765123;765124;999892,Cutibacterium modestum HL044PA1;Cutibacterium modestum HL037PA2;Cutibacterium modestum HL037PA3;Cutibacterium modestum P08;Cutibacterium modestum 28N;Cutibacterium modestum 30N;uncultured Cutibacterium sp.;Cutibacterium modestum,cutibacterium modestum,1,TRUE,longest_validated_sequence
WP_002529798.1,NirK,314,1747;765108,Cutibacterium acnes;Cutibacterium acnes HL036PA3,cutibacterium acnes,1,FALSE,
WP_002530844.1,NirK,314,1747;765103,Cutibacterium acnes;Cutibacterium acnes HL030PA1,cutibacterium acnes,1,FALSE,
WP_002531596.1,NirK,314,1747;765101,Cutibacterium acnes;Cutibacterium acnes HL050PA2,cutibacterium acnes,1,FALSE,
WP_002540980.1,NirK,314,1747;765095,Cutibacterium acnes;Cutibacterium acnes HL046PA2,cutibacterium acnes,1,FALSE,
WP_002543645.1,NirK,314,1276649;1747;765071,Cutibacterium acnes;Cutibacterium acnes HL078PA1;Cutibacterium acnes FZ1/2/0,cutibacterium acnes,1,FALSE,
WP_002544626.1,NirK,314,1747;765120,Cutibacterium acnes;Cutibacterium acnes HL082PA1,cutibacterium acnes,1,FALSE,
WP_002545035.1,NirK,314,1747;765100,Cutibacterium acnes;Cutibacterium acnes HL050PA1,cutibacterium acnes,1,FALSE,
WP_002547438.1,NirK,314,1747;765105,Cutibacterium acnes;Cutibacterium acnes HL001PA1,cutibacterium acnes,1,FALSE,
WP_002547625.1,NirK,314,1747;765099,Cutibacterium acnes;Cutibacterium acnes HL005PA4,cutibacterium acnes,1,FALSE,
WP_002550210.1,NirK,314,1051006;1574624,[Propionibacterium] namnetense SK182B-JCVI;Cutibacterium namnetense,[propionibacterium] namnetense,1,TRUE,longest_validated_sequence
WP_002642011.1,NirK,387,641147;72,Simonsiella muelleri;Simonsiella muelleri ATCC 29453,simonsiella muelleri,1,TRUE,longest_validated_sequence
WP_002668532.1,NirK,360,1017;553178,Capnocytophaga gingivalis;Capnocytophaga gingivalis ATCC 33624,capnocytophaga gingivalis,1,TRUE,longest_validated_sequence
WP_002973135.1,NirK,354,1257025;293075,Leptospira terpstrae;Leptospira terpstrae serovar Hualin str. LT 11-33 = ATCC 700639,leptospira terpstrae,1,TRUE,longest_validated_sequence
WP_002978658.1,NirK,331,1241978;250;253;2758092;525257;59732;651561,Chryseobacterium gleum;Chryseobacterium indologenes;Chryseobacterium;Chryseobacterium gleum ATCC 35910;Chryseobacterium arthrosphaerae;Chryseobacterium bernardetii;Chryseobacterium sp. Marseille-Q3244,chryseobacterium gleum,1,TRUE,longest_validated_sequence
WP_002989209.1,NirK,354,1218591;293085,Leptospira vanthielii;Leptospira vanthielii serovar Holland str. Waz Holland = ATCC 700522,leptospira vanthielii,1,TRUE,longest_validated_sequence
WP_002990319.1,NirK,366,256;883155;929704,Myroides odoratus;Myroides odoratus CIP 103059;Myroides odoratus DSM 2801,myroides odoratus,1,TRUE,longest_validated_sequence
WP_003656881.1,NirK,382,1236608;1715217;475;480;749219;857571;857572;857573;857574;857575;857576;857579;857581,Moraxella;Moraxella catarrhalis;Moraxella catarrhalis RH4;Moraxella catarrhalis O35E;Moraxella catarrhalis 101P30B1;Moraxella catarrhalis CO72;Moraxella catarrhalis BC8;Moraxella catarrhalis BC7;Moraxella catarrhalis BC1;Moraxella catarrhalis 103P14B1;Moraxella catarrhalis 7169;Moraxella catarrhalis BBH18;Moraxella sp. HMSC061H09,moraxella catarrhalis,1,TRUE,longest_validated_sequence
WP_003663411.1,NirK,382,480;857578,Moraxella catarrhalis;Moraxella catarrhalis 46P47B1,moraxella catarrhalis,1,FALSE,
WP_003678230.1,NirK,390,483;546262,Neisseria cinerea;Neisseria cinerea ATCC 14685,neisseria cinerea,1,FALSE,
WP_003679935.1,NirK,386,484;546264,Neisseria flavescens;Neisseria flavescens NRL30031/H210,neisseria flavescens,1,FALSE,
WP_003685959.1,NirK,380,1715179,Neisseria sp. HMSC068C04,neisseria sp. hmsc068c04,0,TRUE,longest_validated_sequence
WP_003694026.1,NirK,392,485;528352,Neisseria gonorrhoeae;Neisseria gonorrhoeae FA19,neisseria gonorrhoeae,1,TRUE,longest_validated_sequence
WP_003700168.1,NirK,392,1351808;485;528358,Neisseria gonorrhoeae;Neisseria gonorrhoeae PID332;Neisseria gonorrhoeae MU_NG17,neisseria gonorrhoeae,1,FALSE,
WP_003703817.1,NirK,392,485;528348;528353;528356,Neisseria gonorrhoeae;Neisseria gonorrhoeae DGI2;Neisseria gonorrhoeae FA6140;Neisseria gonorrhoeae PID18,neisseria gonorrhoeae,1,FALSE,
WP_003705926.1,NirK,392,1352533;242231;482;485;487;528351,Neisseria;Neisseria gonorrhoeae;Neisseria meningitidis;Neisseria gonorrhoeae FA 1090;Neisseria gonorrhoeae F62;Neisseria gonorrhoeae CH811,neisseria gonorrhoeae,1,FALSE,
WP_003709138.1,NirK,390,3391057;482;486;487;489;489653;546265,Neisseria;Neisseria lactamica;Neisseria meningitidis;Neisseria polysaccharea;Neisseria lactamica 020-06;Neisseria lactamica ATCC 23970;Neisseria sp. LACPHL-SPEC-2024-00856,neisseria lactamica,1,FALSE,
WP_003714409.1,NirK,390,486;869214,Neisseria lactamica;Neisseria lactamica Y92-1009,neisseria lactamica,1,FALSE,
WP_003745815.1,NirK,382,1715190;435832;482;488,Neisseria;Neisseria mucosa;Neisseria mucosa C102;Neisseria sp. HMSC070A01,neisseria mucosa,1,FALSE,
WP_003754565.1,NirK,391,1906581;482;486;489,Neisseria;Neisseria lactamica;Neisseria polysaccharea;Neisseria bergeri,neisseria lactamica,1,TRUE,longest_validated_sequence
WP_003764092.1,NirK,390,1095748;490,Neisseria sicca;Neisseria sicca VK64,neisseria sicca,1,TRUE,longest_validated_sequence
WP_003770823.1,NirK,389,495;546263;88719,Neisseria elongata;Neisseria elongata subsp. glycolytica;Neisseria elongata subsp. glycolytica ATCC 29315,neisseria elongata,1,FALSE,
WP_003781971.1,NirK,390,502;888741,Kingella denitrificans;Kingella denitrificans ATCC 33394,kingella denitrificans,1,TRUE,longest_validated_sequence
WP_003786767.1,NirK,389,1188007;1305590;1305593;1305594;1305595;1305774;1305775;1305776;1305778;1305782;1305783;1305786;1305789;1305790;1305791;1305792;1305793;1305795;1348238;1348240;1348241;1348242;504;887327,Kingella kingae;Kingella kingae ATCC 23330;Kingella kingae 11220434;Kingella kingae KK101;Kingella kingae KK145;Kingella kingae KK156;Kingella kingae KK274;Kingella kingae KK75;Kingella kingae KK60;Kingella kingae KK199;Kingella kingae KK128;Kingella kingae KK113;Kingella kingae BB060;Kingella kingae KK12;Kingella kingae KK6;Kingella kingae KK107;Kingella kingae AA417;Kingella kingae AA068;Kingella kingae BB016;Kingella kingae PV1748;Kingella kingae KK93;Kingella kingae KK189;Kingella kingae KK158;Kingella kingae KK260,kingella kingae,1,TRUE,longest_validated_sequence
WP_003790335.1,NirK,389,1150867;1305781;504,Kingella kingae;Kingella kingae PYKK081;Kingella kingae D7330,kingella kingae,1,FALSE,
WP_003798935.1,NirK,382,2796361;32257;505;629741,Kingella oralis;Kingella;Kingella oralis ATCC 51147;Kingella bonacorsii,kingella oralis,1,FALSE,
WP_004200986.1,NirK,367,111527;1249470;1249473;1306420;1306421;13373;1382516;1382519;1382520;1382521;1434195;1434202;1434204;1434208;1435362;1435371;1435373;1435986;1436037;1436051;1436065;1439858;1439859;243160;28450;320388;320389;320390;334802;334803;370895;412021;412022;436115,Burkholderia mallei;Burkholderia pseudomallei;pseudomallei group;Burkholderia mallei ATCC 23344;Burkholderia mallei SAVP1;Burkholderia mallei NCTC 10247;Burkholderia mallei GB8 horse 4;Burkholderia mallei FMH;Burkholderia mallei JHU;Burkholderia mallei 2002721280;Burkholderia mallei ATCC 10399;Burkholderia mallei NCTC 10229;Burkholderia mallei PRL-20;Burkholderia pseudomallei MSHR1079;Burkholderia pseudomallei MSHR491;Burkholderia pseudomallei MSHR5848;Burkholderia pseudomallei MSHR5855;Burkholderia mallei 2000031281;Burkholderia mallei China_7;Burkholderia mallei strain_6;Burkholderia mallei strain_11;Burkholderia pseudomallei MSHR4303;Burkholderia pseudomallei TSV 43;Burkholderia pseudomallei TSV 31;Burkholderia pseudomallei ABCPW 30;Burkholderia pseudomallei MSHR5492;Burkholderia pseudomallei MSHR7527;Burkholderia pseudomallei MSHR7504;Burkholderia pseudomallei MSHR449;Burkholderia pseudomallei MSHR296;Burkholderia pseudomallei MSHR800;Burkholderia pseudomallei MSHR952;Burkholderia pseudomallei TSV44;Burkholderia pseudomallei TSV32,burkholderia mallei,1,TRUE,longest_validated_sequence
WP_004282838.1,NirK,385,1051972;1051985;28091,Neisseria weaveri;Neisseria weaveri ATCC 51223;Neisseria weaveri LMG 5135,neisseria weaveri,1,TRUE,longest_validated_sequence
WP_004519389.1,NirK,383,1715040;1715140;1715175;1739328;1739332;1739456;237778;28449;33053;3436687;3436688;3436692;3436693;3436699;3436708;3436714;3436750;3436754;3436755;3436777;3436778;3436779;3436780;3436782;3436783;3436784;3436785;3436798;3436827;3436831;3436832;3436834;3436835;3436846;3436850;482;546268,Neisseria;Neisseria subflava;Neisseria perflava;uncultured Neisseria sp.;Neisseria subflava NJ9703;Neisseria sp. HMSC078H04;Neisseria sp. HMSC061B04;Neisseria sp. HMSC058F07;Neisseria sp. HMSC063B05;Neisseria sp. HMSC071A01;Neisseria sp. HMSC068C12;Neisseria sp. P0006.S004;Neisseria sp. P0006.S005;Neisseria sp. P0006.S009;Neisseria sp. P0006.S010;Neisseria sp. P0008.S002;Neisseria sp. P0009.S001;Neisseria sp. P0009.S007;Neisseria sp. P0014.S004;Neisseria sp. P0014.S008;Neisseria sp. P0014.S009;Neisseria sp. P0017.S001;Neisseria sp. P0017.S002;Neisseria sp. P0017.S003;Neisseria sp. P0017.S004;Neisseria sp. P0017.S006;Neisseria sp. P0017.S007;Neisseria sp. P0017.S008;Neisseria sp. P0017.S009;Neisseria sp. P0019.S002;Neisseria sp. P0022.S002;Neisseria sp. P0022.S006;Neisseria sp. P0022.S007;Neisseria sp. P0022.S009;Neisseria sp. P0022.S010;Neisseria sp. P0024.S002;Neisseria sp. P0024.S006,neisseria subflava,1,FALSE,
WP_004528780.1,NirK,367,1249468;1249469;1306418;1306419;1321246;1321247;1321253;1321255;1343079;1434194;1434196;1434197;1434198;1434201;1434209;1434211;1434932;1435367;1435369;1435374;1435983;1435989;1435991;1435992;1436038;1436039;1436041;1436047;2020481;2020482;2020483;2020484;272560;28450;32008;320371;320372;331978;536230;595498,Burkholderia pseudomallei;Burkholderia;Burkholderia pseudomallei K96243;Burkholderia pseudomallei 1710a;Burkholderia pseudomallei 1710b;Burkholderia pseudomallei Pasteur 52237;Burkholderia pseudomallei MSHR346;Burkholderia pseudomallei Pakistan 9;Burkholderia pseudomallei NCTC 13178;Burkholderia pseudomallei MSHR1328;Burkholderia pseudomallei HBPUB10134a;Burkholderia pseudomallei HBPUB10303a;Burkholderia pseudomallei Gu1909a;Burkholderia pseudomallei MSHR1950;Burkholderia pseudomallei PHLS9;Burkholderia pseudomallei RF6BP15;Burkholderia pseudomallei MSHR338;Burkholderia pseudomallei MSHR4300;Burkholderia pseudomallei MSHR4304;Burkholderia pseudomallei MSHR4308;Burkholderia pseudomallei MSHR4372;Burkholderia pseudomallei MSHR4299;Burkholderia pseudomallei ABCPW 91;Burkholderia pseudomallei BDU 2;Burkholderia pseudomallei MSHR5609;Burkholderia pseudomallei MSHR4012;Burkholderia pseudomallei MSHR4003;Burkholderia pseudomallei MSHR7500;Burkholderia pseudomallei MSHR332;Burkholderia pseudomallei MSHR983;Burkholderia pseudomallei MSHR1029;Burkholderia pseudomallei MSHR1357;Burkholderia pseudomallei MSHR487;Burkholderia pseudomallei MSHR503;Burkholderia pseudomallei DL36;Burkholderia pseudomallei 319a;Burkholderia sp. 117;Burkholderia sp. 129;Burkholderia sp. 137;Burkholderia sp. 136(2017),burkholderia pseudomallei,1,TRUE,longest_validated_sequence
WP_004537581.1,NirK,367,1229785;1249471;1249474;1249476;1249658;1290412;1290413;1290414;1290415;1321250;1321252;1321254;1321257;1321260;1408264;1434192;1434193;1434203;1434925;1435048;1435049;1435997;1436050;1436053;1436058;1436059;1436060;28450;320374;357347;357348,Burkholderia pseudomallei;Burkholderia pseudomallei S13;Burkholderia pseudomallei 1106b;Burkholderia pseudomallei 1106a;Burkholderia pseudomallei BPC006;Burkholderia pseudomallei MSHR146;Burkholderia pseudomallei MSHR511;Burkholderia pseudomallei NAU20B-16;Burkholderia pseudomallei PB08298010;Burkholderia pseudomallei CS;Burkholderia pseudomallei CB;Burkholderia pseudomallei OS;Burkholderia pseudomallei OB;Burkholderia pseudomallei NAU20B16;Burkholderia pseudomallei NAU44A6;Burkholderia pseudomallei RF67BP1;Burkholderia pseudomallei RF85Bp37;Burkholderia pseudomallei Songkhla34W2;Burkholderia pseudomallei MSHR6137;Burkholderia pseudomallei MSHR3951;Burkholderia pseudomallei MSHR4032;Burkholderia pseudomallei MSHR3960;Burkholderia pseudomallei MSHR5569;Burkholderia pseudomallei MSHR7498;Burkholderia pseudomallei MSHR7343;Burkholderia pseudomallei MSHR3016;Burkholderia pseudomallei DL28;Burkholderia pseudomallei DL35;Burkholderia pseudomallei STW 214;Burkholderia pseudomallei USAMRU Malaysia #17;Burkholderia pseudomallei Smith 002025,burkholderia pseudomallei,1,FALSE,
WP_004542152.1,NirK,367,1249659;1335307;1435982;28450;425067,Burkholderia pseudomallei;Burkholderia pseudomallei 305;Burkholderia pseudomallei MSHR520;Burkholderia pseudomallei MSHR305;Burkholderia pseudomallei MSHR303,burkholderia pseudomallei,1,FALSE,
WP_004545765.1,NirK,367,28450;557724,Burkholderia pseudomallei;Burkholderia pseudomallei 576,burkholderia pseudomallei,1,FALSE,
WP_004551867.1,NirK,366,1086034;28450,Burkholderia pseudomallei;Burkholderia pseudomallei 354a,burkholderia pseudomallei,1,FALSE,
WP_004553511.1,NirK,367,1085027;1436043;28450;441154;884204,Burkholderia pseudomallei;Burkholderia pseudomallei 112;Burkholderia pseudomallei 1026b;Burkholderia pseudomallei 1026a;Burkholderia pseudomallei Gu2143a,burkholderia pseudomallei,1,FALSE,
WP_004555313.1,NirK,367,1086033;28450,Burkholderia pseudomallei;Burkholderia pseudomallei 1258b,burkholderia pseudomallei,1,FALSE,
WP_004556226.1,NirK,366,1086036;1262664;1306417;1321258;1321259;1343557;1343558;1343559;1343560;1343562;1343565;1436055;1436067;1436068;1436069;28450,Burkholderia pseudomallei;Burkholderia pseudomallei 354e;Burkholderia pseudomallei NCTC 13392;Burkholderia pseudomallei MSHR5858;Burkholderia pseudomallei RNS3Bp1;Burkholderia pseudomallei RNS7Bp6;Burkholderia pseudomallei str. NCTC 13392 substr. morphotype_1;Burkholderia pseudomallei str. NCTC 13392 substr. morphotype_2;Burkholderia pseudomallei str. NCTC 13392 substr. morphotype_3;Burkholderia pseudomallei str. NCTC 13392 substr. morphotype_5;Burkholderia pseudomallei str. NCTC 13392 substr. morphotype_7;Burkholderia pseudomallei str. NCTC 13392 substr. morphotype_10;Burkholderia pseudomallei DL17;Burkholderia pseudomallei INT2-Bp24;Burkholderia pseudomallei INT2-Bp91;Burkholderia pseudomallei INT2-Bp184,burkholderia pseudomallei,1,FALSE,
WP_004557767.1,NirK,367,1247713;1249472;1436054;1436066;1439860;1439861;28450;331109,Burkholderia pseudomallei;Burkholderia pseudomallei 1655;Burkholderia pseudomallei MSHR1043;Burkholderia pseudomallei MSHR2543;Burkholderia pseudomallei MSHR87;Burkholderia pseudomallei MSHR2053;Burkholderia pseudomallei TSV28;Burkholderia pseudomallei TSV5,burkholderia pseudomallei,1,FALSE,
WP_004579141.1,NirK,355,1305740;626887,Marinobacter nanhaiticus D15-8W;Marinobacter nanhaiticus,marinobacter nanhaiticus,1,TRUE,longest_validated_sequence
WP_004627825.1,NirK,366,114715;1264675;2015562;3063544;329;48736;54061,Ralstonia pickettii;Ralstonia;Ralstonia sp.;uncultured Ralstonia sp.;Ralstonia pickettii OR214;Ralstonia sp. PBBBR1;Ralstonia sp. 11b,ralstonia pickettii,1,TRUE,longest_validated_sequence
WP_004785058.1,NirK,354,1193051;29508,Leptospira meyeri;Leptospira meyeri serovar Hardjo str. Went 5,leptospira meyeri,1,TRUE,longest_validated_sequence
WP_004810212.1,NirK,314,33010;997355,Cutibacterium avidum;Cutibacterium avidum ATCC 25577,cutibacterium avidum,1,TRUE,longest_validated_sequence
WP_005507309.1,NirK,318,43675;563033,Rothia mucilaginosa;Rothia mucilaginosa M508,rothia mucilaginosa,1,TRUE,longest_validated_sequence
WP_005509051.1,NirK,318,43675;553201,Rothia mucilaginosa;Rothia mucilaginosa ATCC 25296,rothia mucilaginosa,1,FALSE,
WP_005603140.1,NirK,333,715;754255,Actinobacillus pleuropneumoniae;Actinobacillus pleuropneumoniae serovar 4 str. M62,actinobacillus pleuropneumoniae,1,TRUE,longest_validated_sequence
WP_005606647.1,NirK,333,715;754256,Actinobacillus pleuropneumoniae;Actinobacillus pleuropneumoniae serovar 6 str. Femo,actinobacillus pleuropneumoniae,1,FALSE,
WP_005609568.1,NirK,333,715;754258;754260,Actinobacillus pleuropneumoniae;Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261;Actinobacillus pleuropneumoniae serovar 11 str. 56153,actinobacillus pleuropneumoniae,1,FALSE,
WP_005611088.1,NirK,333,715;754259,Actinobacillus pleuropneumoniae;Actinobacillus pleuropneumoniae serovar 10 str. D13039,actinobacillus pleuropneumoniae,1,FALSE,
WP_005622175.1,NirK,333,723;887324,Actinobacillus ureae;Actinobacillus ureae ATCC 25976,actinobacillus ureae,1,TRUE,longest_validated_sequence
WP_005627969.1,NirK,317,1122247;46351,Mycolicibacterium hassiacum;Mycolicibacterium hassiacum DSM 44199,mycolicibacterium hassiacum,1,TRUE,longest_validated_sequence
WP_005696355.1,NirK,341,237779;729;888828,Haemophilus parainfluenzae;uncultured Haemophilus sp.;Haemophilus parainfluenzae ATCC 33392,haemophilus parainfluenzae,1,TRUE,longest_validated_sequence
WP_005697274.1,NirK,341,1095745;1095746;729,Haemophilus parainfluenzae;Haemophilus parainfluenzae HK262;Haemophilus parainfluenzae HK2019,haemophilus parainfluenzae,1,FALSE,
WP_005707720.1,NirK,336,1095743;736,Haemophilus paraphrohaemolyticus;Haemophilus paraphrohaemolyticus HK411,haemophilus paraphrohaemolyticus,1,TRUE,longest_validated_sequence
