species,taxid,organism_name,nirK_present,pcuac_present,class,nirK_rep_accession,pcuac_rep_accession,species_resolved,nirK_length,nirK_molecular_weight,nirK_isoelectric_point,nirK_gravy,nirK_aromaticity,nirK_aa_frac_A,nirK_aa_frac_C,nirK_aa_frac_D,nirK_aa_frac_E,nirK_aa_frac_F,nirK_aa_frac_G,nirK_aa_frac_H,nirK_aa_frac_I,nirK_aa_frac_K,nirK_aa_frac_L,nirK_aa_frac_M,nirK_aa_frac_N,nirK_aa_frac_P,nirK_aa_frac_Q,nirK_aa_frac_R,nirK_aa_frac_S,nirK_aa_frac_T,nirK_aa_frac_V,nirK_aa_frac_W,nirK_aa_frac_Y,pcuac_length,pcuac_molecular_weight,pcuac_isoelectric_point,pcuac_gravy,pcuac_aromaticity,pcuac_aa_frac_A,pcuac_aa_frac_C,pcuac_aa_frac_D,pcuac_aa_frac_E,pcuac_aa_frac_F,pcuac_aa_frac_G,pcuac_aa_frac_H,pcuac_aa_frac_I,pcuac_aa_frac_K,pcuac_aa_frac_L,pcuac_aa_frac_M,pcuac_aa_frac_N,pcuac_aa_frac_P,pcuac_aa_frac_Q,pcuac_aa_frac_R,pcuac_aa_frac_S,pcuac_aa_frac_T,pcuac_aa_frac_V,pcuac_aa_frac_W,pcuac_aa_frac_Y
moraxella catarrhalis,1236608;1715217;475;480;749219;857571;857572;857573;857574;857575;857576;857579;857581;3344666;475;480;480;480;857578,Moraxella catarrhalis,1,0,nirK_only,WP_003656881.1,NA,1,382,40895.81,5.363,-0.1749,0.07853,0.10733,0.00785,0.05497,0.07068,0.0445,0.10209,0.03927,0.04712,0.06545,0.06021,0.02356,0.03665,0.06283,0.03403,0.01832,0.03665,0.05759,0.09686,0.00262,0.03141,,,,,,,,,,,,,,,,,,,,,,,,,
neisseria cinerea,1190569;192066;2830646;2830647;2830648;2830768;482;483;486;487;489;869214;1871108;482;483;1871108;482;483;546262;482;483;487;483;483;546262,Neisseria cinerea,1,1,both,WP_311397790.1,WP_003674857.1,1,392,40726.51,5.34,-0.0816,0.07908,0.16327,0.0051,0.04337,0.06378,0.04082,0.10459,0.02296,0.04082,0.05612,0.04337,0.03061,0.03571,0.06888,0.02806,0.02296,0.05612,0.04847,0.08673,0.00255,0.03571,157,17010.6,8.809,-0.3166,0.03822,0.12102,0.0,0.04459,0.07006,0.02548,0.10191,0.07006,0.02548,0.10191,0.07006,0.07643,0.02548,0.03822,0.03185,0.02548,0.03185,0.03822,0.08917,0.00637,0.00637
neisseria flavescens,1715080;1715140;1715175;1739282;1739328;1739332;1739338;1739375;1739384;1739456;192066;237778;28449;2972775;3003682;33053;3436658;3436659;3436665;3436666;3436667;3436668;3436669;3436670;3436671;3436672;3436673;3436674;3436682;3436687;3436688;3436699;3436708;3436714;3436732;3436771;3436772;3436774;3436775;3436777;3436778;3436779;3436780;3436782;3436783;3436784;3436785;3436798;3436817;3436819;3436820;3436821;3436822;482;484;546268;1739301;192066;28449;3003680;3436692;3436693;3436799;482;484;486;1739376;28449;482;484;1739524;237778;28449;3003683;3436810;482;484;192066;482;484;546264;28449;33053;482;484;28449;3436771;3436772;3436774;3436775;482;484;484;484;546264,Neisseria flavescens,1,1,both,WP_480210362.1,WP_003681960.1,1,388,40710.37,5.332,-0.1258,0.07732,0.14691,0.00515,0.04897,0.06443,0.04124,0.09536,0.02577,0.04639,0.05928,0.04381,0.02577,0.03608,0.06186,0.03093,0.0232,0.06186,0.0567,0.09021,0.00258,0.03351,157,16833.35,9.331,-0.3178,0.03822,0.08917,0.0,0.03185,0.07006,0.02548,0.12739,0.05732,0.01911,0.10191,0.0828,0.06369,0.02548,0.03822,0.03822,0.02548,0.04459,0.05096,0.09554,0.00637,0.00637
neisseria gonorrhoeae,1069620;1079757;482;485;487;935597;1193404;1247414;1351774;1351775;1351776;1351777;1351778;1351779;1351780;1351781;1351782;1351783;1351784;1351785;1351786;1351787;1351788;1351790;1351791;1351792;1351793;1351794;1351795;1351796;1351798;1351799;1351800;1351803;1351804;1351805;1351806;1351807;1351808;1351809;1351810;1351811;1351812;1351815;1351816;1352347;1352513;1352514;1352515;1352519;1352520;1352521;1352522;1352525;1352526;1352527;1352528;1352529;1352530;1352532;1352533;485;521006;528345;528346;528347;528348;528352;528353;528354;528356;528357;528358;528359;1193404;1247414;1351774;1351779;1351785;1351791;1351792;1351795;1351800;1351804;1351805;1351806;1351807;1351815;1352347;482;485;487;521006;528359;1351775;1351777;1351782;1351786;1351789;1351790;1351797;1351801;1351814;1351816;1352514;1352522;1352529;485;528345;528347;528355;528357;1351776;1351778;1351781;1351783;1351787;1351794;1351798;1351803;1351809;1351810;1351811;1351812;1352515;1352519;1352521;1352525;1352530;1352532;482;485;487;528346;528354;1351780;485;1351784;1351788;1351793;1351796;1352528;485;1351789;1351797;1351801;1352518;242231;485;528351;528355;528360;1351799;485;1351808;485;528358;1352513;1352520;485;1352518;485;1352526;485;1352527;485;1352533;242231;482;485;487;528351;242231;485;485;485;528348;528353;528356;485;528352,Neisseria gonorrhoeae,1,1,both,WP_003694026.1,WP_002225039.1,1,392,40922.68,5.199,-0.0918,0.07908,0.15561,0.0051,0.04592,0.06633,0.04082,0.09949,0.02041,0.04337,0.05612,0.04337,0.02806,0.03061,0.06633,0.03061,0.02551,0.06122,0.05357,0.08929,0.00255,0.03571,157,16994.62,9.127,-0.2293,0.03822,0.10191,0.0,0.04459,0.06369,0.02548,0.10828,0.07006,0.03185,0.10191,0.07006,0.07006,0.02548,0.03185,0.03185,0.02548,0.03822,0.03822,0.10828,0.00637,0.00637
neisseria lactamica,1715080;1871109;192066;482;486;1906581;482;486;489;3391057;482;486;487;489;489653;546265;3391057;482;486;489653;482;486;487;482;486;487;489;486;486;546265;486;869214;486;933280,Neisseria lactamica,1,1,both,WP_003754565.1,WP_003708638.1,1,391,40894.63,5.199,-0.1102,0.07928,0.1509,0.00512,0.04604,0.0665,0.04092,0.09974,0.02046,0.04348,0.05627,0.04348,0.02813,0.03325,0.0665,0.03069,0.02558,0.06138,0.05371,0.08951,0.00256,0.03581,157,17011.58,8.05,-0.293,0.03822,0.10828,0.0,0.04459,0.07006,0.02548,0.10828,0.07006,0.03185,0.09554,0.07006,0.07643,0.02548,0.03822,0.03185,0.02548,0.03185,0.04459,0.08917,0.00637,0.00637
neisseria mucosa,1056807;1095748;1715205;1739542;192066;481;488;490;547045;665946;997348;1056807;481;488;1581049;192066;3077724;482;488;490;1715052;482;488;1715190;3436738;3436740;3436741;3436743;3436745;3436781;3436782;435832;482;488;1715190;435832;482;488;28449;482;488;2866585;3388843;482;488;490;482;488;490;482;488;490;546266;482;488;997348;488;488;546266,Neisseria mucosa,1,1,both,WP_039862803.1,WP_003744919.1,1,390,40708.54,5.622,-0.1018,0.07692,0.16923,0.00513,0.04359,0.06667,0.04103,0.10256,0.02564,0.05128,0.06154,0.04359,0.02564,0.03333,0.06154,0.03333,0.02564,0.04872,0.04615,0.07949,0.00256,0.03333,157,16857.35,9.301,-0.3401,0.03822,0.0828,0.0,0.04459,0.06369,0.02548,0.12102,0.05732,0.02548,0.10828,0.07006,0.05732,0.02548,0.04459,0.03185,0.02548,0.04459,0.05096,0.10828,0.00637,0.00637
neisseria sicca,1095748;490;1581124;1608896;482;490;1581124;1739411;1739458;482;490;1581124;1739458;482;490;1715052;192066;482;490;490;490;547045;490;933266,Neisseria sicca,1,1,both,WP_003764092.1,WP_016686255.1,1,390,40734.58,5.622,-0.1105,0.07692,0.16667,0.00513,0.04359,0.06667,0.04103,0.10256,0.02564,0.05128,0.06154,0.04359,0.02564,0.03333,0.0641,0.03333,0.02564,0.04872,0.04615,0.07949,0.00256,0.03333,157,16882.31,9.127,-0.3535,0.03822,0.07643,0.0,0.04459,0.06369,0.02548,0.12102,0.06369,0.01911,0.10191,0.07006,0.05732,0.02548,0.04459,0.03185,0.02548,0.04459,0.05732,0.11465,0.00637,0.00637
neisseria elongata,214482;495;3436707;482;495;495;495;546263;88719;495;88719;495;90367,Neisseria elongata,1,1,both,WP_049249904.1,WP_049249159.1,1,391,41167.0,5.295,-0.1003,0.07673,0.13555,0.00512,0.05371,0.05627,0.04092,0.1023,0.02813,0.04604,0.05371,0.04604,0.03069,0.04092,0.06138,0.03581,0.02302,0.04859,0.05882,0.09719,0.00512,0.03069,151,15804.18,9.241,-0.1278,0.04636,0.13907,0.00662,0.02649,0.0596,0.03311,0.11258,0.05298,0.01325,0.09934,0.0596,0.05298,0.01325,0.0596,0.04636,0.01325,0.05298,0.03311,0.11258,0.00662,0.00662
kingella denitrificans,502;502;888741,Kingella denitrificans,1,1,both,WP_003781971.1,WP_003781170.1,1,390,40994.01,5.415,-0.0149,0.08205,0.14103,0.00769,0.04359,0.0641,0.05385,0.10513,0.02564,0.05128,0.04872,0.04615,0.02308,0.04359,0.07179,0.02821,0.03077,0.03846,0.05128,0.09744,0.00256,0.02564,132,14350.51,9.336,-0.1758,0.06061,0.08333,0.00758,0.0303,0.04545,0.03788,0.09848,0.03788,0.02273,0.07576,0.07576,0.05303,0.04545,0.05303,0.06061,0.0303,0.01515,0.09091,0.11364,0.0,0.02273
kingella kingae,1150867;1305771;1305781;1305787;1305788;1305792;1348237;1348240;1348241;504;1150867;1305781;504;1188007;1305590;1305593;1305594;1305595;1305774;1305775;1305776;1305778;1305782;1305783;1305786;1305789;1305790;1305791;1305792;1305793;1305795;1348238;1348240;1348241;1348242;504;887327;1188007;1305592;1305782;1305786;1305795;504;1305590;1305593;1305594;1305778;1305780;1305789;1305790;1305794;1348238;1348242;504;1305592;504;1305595;1305776;1305791;504;1305771;1305787;1305788;504;1305773;1305784;1305785;1305797;504;1305774;504;1305775;1305783;504;887327;1305780;504;1305793;504;1305794;504;504,Kingella kingae,1,1,both,WP_003786767.1,WP_003785840.1,1,389,41129.23,5.491,-0.0514,0.07969,0.13111,0.00771,0.04627,0.06427,0.04884,0.10026,0.02828,0.05656,0.05913,0.05141,0.02057,0.04113,0.06941,0.03342,0.02314,0.03856,0.05398,0.09512,0.00257,0.02828,132,14503.68,9.269,-0.2152,0.06061,0.07576,0.00758,0.04545,0.04545,0.03788,0.09091,0.03788,0.06818,0.09091,0.08333,0.03788,0.04545,0.04545,0.05303,0.0303,0.02273,0.08333,0.07576,0.0,0.02273
kingella oralis,159270;505;629741;2796361;32257;505;2796361;32257;505;629741;505,Kingella oralis,1,1,both,WP_325313872.1,WP_003796576.1,1,385,40553.47,5.233,-0.0379,0.07792,0.14286,0.00519,0.05974,0.05974,0.04675,0.0961,0.02857,0.03636,0.05974,0.05455,0.02597,0.03377,0.06234,0.03377,0.02338,0.04675,0.04156,0.11169,0.0026,0.02857,132,14629.84,9.46,-0.4061,0.07576,0.08333,0.00758,0.04545,0.05303,0.05303,0.09091,0.03788,0.04545,0.12121,0.09091,0.03788,0.03788,0.04545,0.05303,0.02273,0.01515,0.08333,0.05303,0.0,0.02273
burkholderia mallei,111527;1249470;1249473;1306420;1306421;13373;1382516;1382519;1382520;1382521;1434195;1434202;1434204;1434208;1435362;1435371;1435373;1435986;1436037;1436051;1436065;1439858;1439859;243160;28450;320388;320389;320390;334802;334803;370895;412021;412022;436115;13373,Burkholderia mallei,1,0,nirK_only,WP_004200986.1,NA,1,367,39267.23,6.559,-0.1223,0.08992,0.11444,0.00272,0.0545,0.04632,0.0545,0.10354,0.02725,0.03815,0.04905,0.06812,0.02452,0.0436,0.07902,0.0218,0.04632,0.03815,0.05995,0.09264,0.00272,0.0327,,,,,,,,,,,,,,,,,,,,,,,,,
neisseria weaveri,1051972;1051985;28091;28091,Neisseria weaveri,1,1,both,WP_004282838.1,WP_036494243.1,1,385,40925.17,5.514,-0.0987,0.08312,0.11948,0.00519,0.05195,0.06234,0.04675,0.10649,0.02597,0.05195,0.07013,0.04935,0.02857,0.02857,0.06753,0.04156,0.01818,0.03377,0.05714,0.0987,0.0026,0.03377,157,17278.78,7.257,-0.3465,0.04459,0.07643,0.0,0.05096,0.05732,0.02548,0.08917,0.0828,0.02548,0.08917,0.08917,0.06369,0.03822,0.05096,0.03185,0.01911,0.04459,0.05096,0.09554,0.01274,0.00637
neisseria subflava,1581107;192066;28449;3273402;3436646;3436647;3436650;3436651;3436652;3436653;3436654;3436701;3436712;3436717;3436820;482;1581107;28449;3436701;482;1715040;1715140;1715175;1739328;1739332;1739456;237778;28449;33053;3436687;3436688;3436692;3436693;3436699;3436708;3436714;3436750;3436754;3436755;3436777;3436778;3436779;3436780;3436782;3436783;3436784;3436785;3436798;3436827;3436831;3436832;3436834;3436835;3436846;3436850;482;546268;1715075;192066;28449;3436846;3436850;482;1715112;1739369;237778;28449;3436697;3436787;3436788;3436789;3436790;3436792;3436810;482;192066;237778;28449;482;192066;28449;482;237778;28449;237778;28449;3003681;482;28449;28449;3077590;482;28449;3436808;482,Neisseria subflava,1,1,both,WP_137040440.1,WP_070461423.1,1,386,40442.1,5.238,-0.1028,0.07772,0.15285,0.00518,0.04404,0.06736,0.04145,0.09585,0.0285,0.04922,0.05699,0.04663,0.02591,0.03627,0.06477,0.03368,0.01813,0.0544,0.05959,0.0829,0.00259,0.03368,157,16776.3,9.331,-0.2752,0.03822,0.09554,0.0,0.03185,0.07006,0.02548,0.12739,0.05732,0.03185,0.10191,0.07006,0.06369,0.02548,0.03822,0.03185,0.02548,0.04459,0.05096,0.09554,0.00637,0.00637
burkholderia pseudomallei,1085027;1436043;28450;441154;884204;1086033;28450;1086034;28450;1086036;1262664;1306417;1321258;1321259;1343557;1343558;1343559;1343560;1343562;1343565;1436055;1436067;1436068;1436069;28450;1229785;1249471;1249474;1249476;1249658;1290412;1290413;1290414;1290415;1321250;1321252;1321254;1321257;1321260;1408264;1434192;1434193;1434203;1434925;1435048;1435049;1435997;1436050;1436053;1436058;1436059;1436060;28450;320374;357347;357348;1241583;28450;1247713;1249472;1436054;1436066;1439860;1439861;28450;331109;1249468;1249469;1306418;1306419;1321246;1321247;1321253;1321255;1343079;1434194;1434196;1434197;1434198;1434201;1434209;1434211;1434932;1435367;1435369;1435374;1435983;1435989;1435991;1435992;1436038;1436039;1436041;1436047;2020481;2020482;2020483;2020484;272560;28450;32008;320371;320372;331978;536230;595498;1249475;28450;1249477;1321249;1321251;1436040;1436045;1436061;1436062;1437001;28450;320373;1249659;1335307;1435982;28450;425067;1321245;28450;441152;1321248;1435984;1435987;1435994;1437003;1437004;28450;1434199;28450;1434200;28450;1434205;28450;1434206;1434928;1434930;1435364;1435370;1435372;1435993;1435998;28450;1434207;28450;1434210;1435365;28450;1434926;28450;1434931;28450;1435050;28450;1435363;28450;1435990;28450;1435995;28450;1435996;1439852;1439854;1439855;1439856;1439857;28450;1436042;28450;1436044;28450;1436052;28450;360118;1436056;28450;1436999;28450;1437000;28450;1437002;28450;1437005;28450;28450;28450;441156;28450;557724;28450;797300,Burkholderia pseudomallei,1,0,nirK_only,WP_004528780.1,NA,1,367,39267.23,6.559,-0.1223,0.08992,0.11444,0.00272,0.0545,0.04632,0.0545,0.10354,0.02725,0.03815,0.04905,0.06812,0.02452,0.0436,0.07902,0.0218,0.04632,0.03815,0.05995,0.09264,0.00272,0.0327,,,,,,,,,,,,,,,,,,,,,,,,,
marinobacter nanhaiticus,1305740;626887,Marinobacter nanhaiticus D15-8W;Marinobacter nanhaiticus,1,1,both,WP_004579141.1,WP_051079768.1,1,355,37885.97,5.665,-0.2485,0.07042,0.08451,0.00282,0.04507,0.05915,0.04225,0.10704,0.04789,0.03944,0.03662,0.06197,0.02817,0.04507,0.06197,0.03944,0.03099,0.06761,0.07887,0.09296,0.00282,0.02535,130,14031.76,4.99,-0.1069,0.05385,0.09231,0.00769,0.04615,0.1,0.03077,0.10769,0.04615,0.05385,0.03077,0.07692,0.04615,0.02308,0.04615,0.01538,0.04615,0.04615,0.07692,0.08462,0.00769,0.01538
ralstonia pickettii,114715;1264675;2015562;3063544;329;48736;54061;1218114;1502763;2675750;2836825;3043851;329;3448079;3475252;48736;54061;658080;1218114;3043851;329;3475252;48736;54061;1502763;2502217;2675750;3035138;3035140;3035142;3035146;3035147;3035152;3035153;3058596;3231757;329;3379822;3448079;3471680;48736;658080;2219865;2937884;3058602;329;48736;2502217;3035138;3035140;3035142;3035146;3035147;3035152;3035153;3058596;3231757;329;3379822;3471672;3471673;3471674;3471675;3471676;3471677;3471678;3471679;3471680;3471681;48736;2937884;2957504;3058602;329;48736;329;329;3471672;3471673;3471674;3471675;3471676;3471677;3471678;3471679;3471681;48736;329;48736;54061,Ralstonia pickettii;Ralstonia;Ralstonia sp. 110700041-2;Ralstonia sp. 110760020-1;Ralstonia sp. 092160068-1;Ralstonia sp. 092160072-1;Ralstonia sp. 101480038-1;Ralstonia sp. 101480035-1;Ralstonia sp. 102690001-2;Ralstonia sp. 101120021-1;Ralstonia sp. 100540015-2,1,1,both,WP_004627825.1,WP_004628248.1,1,366,39025.24,6.343,0.0202,0.08743,0.09563,0.00273,0.03825,0.05464,0.04645,0.10929,0.03552,0.04645,0.05191,0.07923,0.02459,0.03005,0.0765,0.02459,0.03005,0.05738,0.05464,0.10109,0.00273,0.03825,132,14154.33,9.347,-0.1258,0.0303,0.12121,0.0,0.04545,0.05303,0.01515,0.07576,0.0303,0.00758,0.07576,0.09091,0.05303,0.01515,0.06061,0.05303,0.04545,0.03788,0.07576,0.12879,0.00758,0.00758
leptospira meyeri,1193051;29508;29508,Leptospira meyeri,1,0,nirK_only,WP_004785058.1,NA,1,354,38303.35,5.677,-0.0831,0.08475,0.06215,0.00565,0.03955,0.07062,0.0452,0.10169,0.03107,0.05085,0.06497,0.07627,0.02542,0.0452,0.07062,0.02542,0.01977,0.0565,0.05932,0.11017,0.00282,0.03672,,,,,,,,,,,,,,,,,,,,,,,,,
cutibacterium avidum,1170318;33010;1292372;33010;1912216;33010;3414745;3414746;1912216;33010;3414753;1912216;33010;3414761;33010;33010;997355,Cutibacterium avidum;Cutibacterium;Cutibacterium sp. LaCa_87;Cutibacterium sp. LaCa_89,1,0,nirK_only,WP_004810212.1,NA,1,314,34043.58,6.298,-0.0545,0.07006,0.11783,0.01274,0.03503,0.06051,0.03503,0.09236,0.05732,0.05096,0.02866,0.07006,0.04459,0.03503,0.05414,0.03185,0.04777,0.03503,0.07325,0.0828,0.00637,0.02866,,,,,,,,,,,,,,,,,,,,,,,,,
